n_head,n_layer,n_embd,learning_rate,dropout,iteration,best_val_loss,best_val_loss_iter,best_train_loss,best_train_loss_iter
10,2,100,1.5180539732175422e-05,0.4712673833193965,300,0.011528209058774842,288,0.011197109810180135,288
10,2,100,1.5180539732175422e-05,0.4712673833193965,364,0.011399919063680701,352,0.011085766755665341,352
1,11,150,1.5734179393339365e-05,0.17731780274514025,276,0.008556363690230582,264,0.007997571154394083,274
1,1,110,4.922411664246991e-05,0.31164073751958427,92,0.011421848398943743,80,0.011186083959829476,80
10,3,150,2.3237066176933495e-05,0.05720648484434382,368,0.008372379208190573,356,0.0076506932447147034,368
1,9,410,0.000576687913370373,0.12491403544158591,-1,-1,-1,-1,-1
12,8,480,0.00022400301635493923,0.2575224845819275,-1,-1,-1,-1,-1
1,5,450,1.3370737761791368e-05,0.15121452689556913,222,0.008115607779473066,210,0.0072577386292525465,222
6,5,390,0.0005663820070117425,0.33270577348507774,112,0.007895964146074321,100,0.006239104356306295,108
12,2,120,6.799884713702872e-05,0.33119317817133853,180,0.009449273347854614,168,0.009044120903126895,178
1,3,270,2.0377036783660504e-05,0.47735932785119745,248,0.009696762698392073,236,0.009338329572023617,236
3,8,120,0.00013372491161624977,0.3821292458086919,118,0.008902782574295998,106,0.008460197584807046,118
10,6,470,0.000429463355897785,0.23796745406586411,-1,-1,-1,-1,-1
10,10,200,7.571689487089454e-05,0.3905317988962405,186,0.008228360157873895,174,0.007509196177124977,186
10,5,270,1.769103935482477e-05,0.09281093037249427,324,0.007924697258406214,312,0.006767407874576747,324
8,2,160,0.0004558713749203119,0.24260057649321742,88,0.008474111867447695,76,0.007804405862568981,88
5,11,220,4.9056645797956506e-05,0.3513294745241624,208,0.008150615108509859,196,0.007389218261879351,196
3,10,270,0.0008787447703563174,0.4239630953985421,50,0.00876817676342196,38,0.008172104329181215,46
6,8,150,6.172855355220828e-05,0.023867647701992734,230,0.007962827467256121,218,0.0062809160186184775,228
5,1,240,0.00010314060721688566,0.043833899471146354,196,0.00848040020921164,184,0.007576896757301357,194
6,5,390,1.3566106079097809e-05,0.1287144454438489,314,0.007866004223210944,302,0.0066979874003057676,310
2,12,370,0.0007925210301592947,0.05064632891359416,-1,-1,-1,-1,-1
4,12,420,2.9693075961913075e-05,0.398776066903973,-1,-1,-1,-1,-1
4,9,360,2.2355265742839763e-05,0.29225590528272033,-1,-1,-1,-1,-1
5,1,320,0.00011713360122059705,0.2497936520966162,110,0.008996382873091433,98,0.008403432051030299,98
12,8,180,1.8275350748089627e-05,0.3122529952417306,254,0.00874557558240162,242,0.008218808655834032,250
3,9,300,2.1980998076190776e-05,0.3341199780803069,170,0.008430030714306567,158,0.007855976892945668,158
1,11,150,0.00032795748682600657,0.07413696466211328,156,0.007578306624458896,144,0.0055947412038221955,156
4,1,300,2.5956014341920328e-05,0.411418462822997,62,0.012244379354847802,50,0.012057173660852842,50
8,5,440,0.00018352307571809013,0.15226711862548015,100,0.007555669432299005,88,0.005430212115041084,100
